CustomerKey,Segment,SignupDate
1,Consumer,09-01-2023
2,Consumer,03-01-2022
3,Corporate,25-06-2022
4,Consumer,28-02-2023
5,Consumer,21-06-2023
6,Consumer,11-09-2023
7,Consumer,13-10-2023
8,Small Business,05-08-2022
9,Consumer,04-04-2024
10,Corporate,25-07-2022
11,Consumer,04-04-2023
12,Small Business,09-10-2023
13,Small Business,27-10-2022
14,Consumer,04-12-2022
15,Small Business,30-11-2024
16,Consumer,09-01-2022
17,Consumer,02-07-2023
18,Corporate,09-03-2024
19,Consumer,26-03-2023
20,Small Business,31-03-2023
21,Corporate,22-12-2023
22,Consumer,09-04-2024
23,Small Business,26-09-2023
24,Consumer,06-04-2023
25,Consumer,16-12-2023
26,Corporate,05-09-2023
27,Consumer,23-05-2024
28,Consumer,05-08-2023
29,Corporate,16-01-2024
30,Consumer,13-01-2024
31,Consumer,07-05-2024
32,Consumer,18-04-2023
33,Consumer,20-05-2023
34,Corporate,21-09-2022
35,Consumer,25-06-2023
36,Consumer,19-09-2023
37,Small Business,03-02-2023
38,Corporate,15-03-2024
39,Corporate,26-05-2024
40,Consumer,05-09-2022
41,Consumer,01-03-2024
42,Consumer,09-03-2024
43,Consumer,13-02-2024
44,Small Business,21-05-2023
45,Corporate,22-11-2022
46,Consumer,28-04-2023
47,Small Business,25-12-2023
48,Consumer,30-10-2024
49,Corporate,17-10-2024
50,Corporate,10-02-2023
51,Consumer,09-12-2024
52,Consumer,26-11-2023
53,Consumer,09-11-2022
54,Consumer,11-09-2024
55,Corporate,04-10-2023
56,Consumer,23-12-2022
57,Consumer,25-09-2024
58,Corporate,26-07-2024
59,Consumer,12-06-2022
60,Corporate,01-08-2022
61,Consumer,05-09-2024
62,Consumer,13-04-2022
63,Consumer,22-05-2024
64,Corporate,02-05-2022
65,Consumer,22-08-2024
66,Small Business,20-11-2024
67,Corporate,04-02-2023
68,Consumer,11-10-2022
69,Corporate,30-04-2022
70,Consumer,26-01-2023
71,Consumer,17-06-2023
72,Consumer,05-02-2024
73,Corporate,10-10-2022
74,Consumer,21-07-2023
75,Small Business,27-12-2023
76,Consumer,24-02-2023
77,Consumer,08-12-2023
78,Consumer,11-02-2024
79,Small Business,06-03-2023
80,Small Business,22-01-2024
81,Consumer,08-03-2022
82,Consumer,11-04-2023
83,Small Business,17-10-2022
84,Consumer,19-10-2024
85,Consumer,15-06-2023
86,Small Business,06-10-2023
87,Consumer,05-10-2022
88,Consumer,24-12-2022
89,Consumer,06-12-2023
90,Corporate,28-06-2023
91,Consumer,16-05-2024
92,Consumer,29-11-2023
93,Corporate,07-01-2022
94,Consumer,29-04-2023
95,Corporate,03-12-2024
96,Corporate,29-08-2024
97,Consumer,12-09-2022
98,Corporate,01-10-2022
99,Consumer,12-10-2024
100,Consumer,06-05-2023
101,Small Business,29-03-2022
102,Consumer,18-10-2023
103,Consumer,07-12-2024
104,Consumer,20-01-2024
105,Corporate,13-05-2022
106,Consumer,01-07-2023
107,Small Business,13-01-2022
108,Consumer,18-07-2023
109,Small Business,12-01-2024
110,Consumer,13-07-2023
111,Consumer,02-05-2022
112,Consumer,07-08-2022
113,Consumer,29-07-2023
114,Consumer,10-07-2024
115,Corporate,24-10-2024
116,Corporate,18-07-2024
117,Small Business,22-10-2023
118,Consumer,11-12-2022
119,Corporate,23-03-2024
120,Consumer,04-09-2022
121,Consumer,06-04-2023
122,Corporate,30-03-2022
123,Small Business,07-03-2022
124,Consumer,03-08-2022
125,Consumer,03-04-2024
126,Corporate,08-09-2023
127,Consumer,01-07-2023
128,Consumer,30-10-2024
129,Consumer,13-08-2024
130,Consumer,17-05-2023
131,Consumer,27-03-2024
132,Consumer,29-05-2023
133,Consumer,31-05-2023
134,Consumer,11-10-2023
135,Consumer,04-05-2024
136,Consumer,02-11-2024
137,Consumer,15-05-2024
138,Consumer,13-09-2022
139,Consumer,04-08-2024
140,Consumer,05-09-2022
141,Consumer,18-02-2022
142,Consumer,02-03-2022
143,Consumer,22-08-2023
144,Consumer,28-03-2023
145,Consumer,18-03-2024
146,Corporate,09-12-2022
147,Corporate,03-11-2024
148,Consumer,15-07-2024
149,Small Business,08-08-2024
150,Consumer,31-12-2023
151,Consumer,16-10-2022
152,Small Business,23-02-2022
153,Small Business,05-03-2023
154,Small Business,15-10-2023
155,Consumer,22-09-2022
156,Small Business,17-01-2022
157,Small Business,22-05-2024
158,Consumer,28-03-2024
159,Corporate,06-05-2023
160,Consumer,09-11-2023
161,Consumer,07-04-2024
162,Small Business,26-04-2023
163,Corporate,13-05-2022
164,Consumer,11-07-2022
165,Consumer,11-06-2024
166,Consumer,23-08-2023
167,Consumer,21-04-2022
168,Consumer,25-01-2022
169,Consumer,24-05-2022
170,Consumer,01-06-2023
171,Consumer,05-11-2022
172,Small Business,14-09-2024
173,Corporate,14-10-2023
174,Corporate,07-01-2022
175,Consumer,20-11-2023
176,Consumer,20-12-2023
177,Small Business,08-08-2023
178,Consumer,19-03-2022
179,Corporate,11-05-2024
180,Consumer,13-09-2024
181,Small Business,18-04-2022
182,Small Business,27-08-2024
183,Consumer,23-08-2024
184,Small Business,25-04-2024
185,Consumer,26-01-2022
186,Small Business,09-08-2024
187,Small Business,30-04-2023
188,Consumer,06-07-2024
189,Consumer,02-04-2024
190,Consumer,29-05-2022
191,Consumer,19-06-2024
192,Corporate,18-04-2023
193,Consumer,10-08-2022
194,Small Business,07-12-2022
195,Consumer,02-01-2023
196,Consumer,13-07-2024
197,Consumer,08-01-2022
198,Consumer,23-02-2022
199,Consumer,26-12-2024
200,Corporate,01-11-2024
201,Consumer,09-10-2022
202,Consumer,17-02-2022
203,Small Business,20-09-2024
204,Consumer,29-12-2023
205,Consumer,02-05-2022
206,Consumer,23-10-2024
207,Corporate,16-08-2023
208,Consumer,25-08-2022
209,Small Business,09-03-2022
210,Consumer,05-10-2022
211,Consumer,03-11-2024
212,Corporate,16-02-2024
213,Consumer,31-01-2022
214,Small Business,21-08-2023
215,Small Business,08-10-2024
216,Corporate,10-01-2024
217,Consumer,29-10-2023
218,Consumer,09-10-2024
219,Corporate,20-06-2024
220,Corporate,08-10-2023
221,Consumer,25-02-2023
222,Small Business,29-05-2023
223,Consumer,18-02-2024
224,Consumer,02-10-2022
225,Small Business,14-10-2024
226,Consumer,23-07-2022
227,Consumer,11-02-2023
228,Corporate,04-01-2023
229,Consumer,05-06-2023
230,Consumer,08-11-2024
231,Consumer,23-01-2022
232,Consumer,09-02-2024
233,Corporate,01-08-2023
234,Consumer,01-03-2023
235,Consumer,12-04-2024
236,Consumer,15-12-2023
237,Small Business,29-04-2024
238,Small Business,13-05-2022
239,Consumer,29-08-2022
240,Consumer,08-12-2023
241,Consumer,02-04-2023
242,Corporate,17-04-2022
243,Consumer,30-11-2023
244,Consumer,30-11-2022
245,Consumer,29-10-2023
246,Consumer,22-01-2023
247,Small Business,01-04-2024
248,Corporate,22-06-2023
249,Consumer,01-07-2023
250,Consumer,23-07-2024
251,Consumer,26-06-2022
252,Consumer,28-08-2024
253,Consumer,03-08-2022
254,Consumer,17-09-2023
255,Small Business,30-05-2023
256,Consumer,02-06-2024
257,Consumer,06-11-2024
258,Consumer,01-07-2022
259,Consumer,17-11-2023
260,Consumer,22-09-2023
261,Corporate,22-01-2022
262,Consumer,30-04-2022
263,Consumer,04-11-2024
264,Small Business,20-10-2024
265,Consumer,30-10-2022
266,Consumer,24-01-2024
267,Corporate,25-06-2024
268,Consumer,27-04-2024
269,Consumer,02-09-2022
270,Consumer,24-12-2023
271,Consumer,23-05-2023
272,Small Business,16-10-2024
273,Corporate,27-04-2022
274,Corporate,19-04-2022
275,Consumer,29-08-2022
276,Small Business,20-07-2023
277,Consumer,27-05-2022
278,Consumer,15-06-2022
279,Consumer,15-02-2024
280,Small Business,12-06-2022
281,Small Business,18-11-2024
282,Consumer,25-07-2022
