OrderID,OrderDate,Region,City,Channel,PaymentMethod,CustomerKey,ProductKey,Quantity,UnitPrice,Discount(%),ShippingFee,Tax_Rate,Returned,ReturnReason,GrossAmount,DiscountAmount,TaxAmount,NetRevenue
700000,2024-09-29,North,Chandigarh,Online,UPI,6979,7,4,3472,0,99,0.18,0,,13888.00,0.00,2517.66,16504.66
700001,2024-11-09,West,Ahmedabad,Distributor,UPI,9992,1,6,36304,0,0,0.18,0,,217824.00,0.00,39208.32,257032.32
700002,2024-10-03,South,Hyderabad,Online,UPI,1622,1,7,34166,0,0,0.18,0,,239162.00,0.00,43049.16,282211.16
700003,2024-09-02,South,Kochi,Online,UPI,437,5,4,4289,0.15,199,0.18,0,,17156.00,2573.40,2660.69,17442.29
700004,2024-04-07,West,Mumbai,Retail,UPI,5283,11,7,10768,0.15,99,0.18,0,,75376.00,11306.40,11550.35,75718.95
700005,2024-10-05,South,Hyderabad,Retail,UPI,1969,5,5,4304,0,99,0.18,0,,21520.00,0.00,3891.42,25510.42
700006,2024-06-18,North,Delhi,Online,Card,180,8,3,60481,0,99,0.18,0,,181443.00,0.00,32677.56,214219.56
700007,2024-04-26,East,Guwahati,Online,UPI,1221,11,7,14220,0.15,149,0.18,0,,99540.00,14931.00,15256.44,100014.44
700008,2024-02-17,West,Mumbai,Online,UPI,3940,10,6,9877,0,0,0.18,1,Wrong Item,59262.00,0.00,10667.16,69929.16
700009,2024-09-13,West,Indore,Retail,Card,6974,12,3,12522,0.1,0,0.18,1,Damaged,37566.00,3756.60,6085.69,39895.09
700010,2024-11-08,North,Lucknow,Online,UPI,2456,2,4,47560,0,49,0.18,0,,190240.00,0.00,34252.02,224541.02
700011,2024-03-12,East,Bhubaneswar,Retail,Card,5518,7,4,3889,0.1,149,0.18,0,,15556.00,1555.60,2546.89,16696.29
700012,2024-03-20,West,Mumbai,Online,COD,8637,2,5,18749,0,99,0.18,1,Late Delivery,93745.00,0.00,16891.92,110735.92
700013,2024-04-01,North,Lucknow,Online,Card,6636,8,6,29732,0.15,49,0.18,0,,178392.00,26758.80,27302.80,178985.00
700014,2024-10-14,West,Pune,Retail,Card,10373,9,5,1686,0,49,0.18,0,,8430.00,0.00,1526.22,10005.22
700015,2024-03-16,South,Chennai,Online,UPI,7301,12,2,34970,0,49,0.18,0,,69940.00,0.00,12598.02,82587.02
700016,2024-11-04,South,Kochi,Retail,Card,10897,6,1,419,0.1,49,0.18,0,,419.00,41.90,76.70,502.80
700017,2024-12-08,North,Delhi,Distributor,Card,10667,13,2,2829,0,49,0.18,0,,5658.00,0.00,1027.26,6734.26
700018,2024-08-06,West,Pune,Distributor,Card,11935,8,2,22433,0.1,49,0.18,0,,44866.00,4486.60,7277.11,47705.51
